title,artist,rank,genre,year
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1,pop,2013
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2,pop,2013
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,3,pop,2013
Suit & Tie,Justin Timberlake Featuring JAY Z,4,pop,2013
Holy Grail,Jay Z Featuring Justin Timberlake,5,pop,2013
Diamonds,Rihanna,6,pop,2013
Started From The Bottom,Drake,7,pop,2013
F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",8,pop,2013
"Hold On, We're Going Home",Drake Featuring Majid Jordan,9,pop,2013
Love Me,Lil Wayne Featuring Drake & Future,10,pop,2013
Power Trip,J. Cole Featuring Miguel,11,pop,2013
Girl On Fire,Alicia Keys Featuring Nicki Minaj,12,pop,2013
Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,13,pop,2013
Bad,Wale Featuring Tiara Thomas Or Rihanna,14,pop,2013
Adorn,Miguel,15,pop,2013
Pour It Up,Rihanna,16,pop,2013
Swimming Pools (Drank),Kendrick Lamar,17,pop,2013
Berzerk,Eminem,18,pop,2013
Body Party,Ciara,19,pop,2013
"Bitch, Don't Kill My Vibe",Kendrick Lamar,20,pop,2013
U.O.E.N.O.,Rocko Featuring Future & Rick Ross,21,pop,2013
#Beautiful,Mariah Carey Featuring Miguel,22,pop,2013
Poetic Justice,Kendrick Lamar Featuring Drake,23,pop,2013
Next To Me,Emeli Sande,24,pop,2013
Crooked Smile,J. Cole Featuring TLC,25,pop,2013
Bugatti,Ace Hood Featuring Future & Rick Ross,26,pop,2013
I'm Different,2 Chainz,27,pop,2013
Rich As F**k,Lil Wayne Featuring 2 Chainz,28,pop,2013
Clique,"Kanye West, Jay-Z, Big Sean",29,pop,2013
Gas Pedal,Sage The Gemini Featuring IamSu!,30,pop,2013
Love More,Chris Brown Featuring Nicki Minaj,31,pop,2013
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",32,pop,2013
Fine China,Chris Brown,33,pop,2013
All Gold Everything,Trinidad James,34,pop,2013
No New Friends (SFTB Remix),"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",35,pop,2013
No Worries,Lil Wayne Featuring Detail,36,pop,2013
Thinkin Bout You,Frank Ocean,37,pop,2013
Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,38,pop,2013
We Still In This B****,B.o.B Featuring T.I. & Juicy J,39,pop,2013
Beware,Big Sean Featuring Lil Wayne & Jhene Aiko,40,pop,2013
Tapout,"Rich Gang Featuring Lil Wayne, Birdman, Future, Mack Maine, Nicki Minaj",41,pop,2013
The Monster,Eminem Featuring Rihanna,42,pop,2013
Type Of Way,Rich Homie Quan,43,pop,2013
Take Back The Night,Justin Timberlake,44,pop,2013
Give It 2 U,Robin Thicke Featuring Kendrick Lamar,45,pop,2013
Red Nose,Sage The Gemini,46,pop,2013
Wicked Games,The Weeknd,47,pop,2013
Loveeeeeee Song,Rihanna Featuring Future,48,pop,2013
Tom Ford,JAY-Z,49,pop,2013
Beat It,Sean Kingston Featuring Chris Brown & Wiz Khalifa,50,pop,2013
Neva End,Future,51,pop,2013
R.I.P.,Young Jeezy Featuring 2 Chainz,52,pop,2013
Love And War,Tamar Braxton,53,pop,2013
Battle Scars,Lupe Fiasco & Guy Sebastian,54,pop,2013
HeadBand,B.o.B Featuring 2 Chainz,55,pop,2013
How Many Drinks?,Miguel,56,pop,2013
Ball,T.I. Featuring Lil Wayne,57,pop,2013
Don't Drop That Thun Thun!,The FiNATTiCZ,58,pop,2013
Ain't Worried About Nothin,French Montana,59,pop,2013
I Luv This Sh*t,August Alsina Featuring Trinidad James,60,pop,2013
Feds Watching,2 Chainz Featuring Pharrell,61,pop,2013
High School,Nicki Minaj Featuring Lil Wayne,62,pop,2013
My Hitta,YG Featuring Jeezy & Rich Homie Quan,63,pop,2013
Love Sosa,Chief Keef,64,pop,2013
Rap God,Eminem,65,pop,2013
We Own It (Fast & Furious),2 Chainz & Wiz Khalifa,66,pop,2013
Kisses Down Low,Kelly Rowland,67,pop,2013
Who Booty,Jonn Hart Featuring IamSU!,68,pop,2013
Don't Judge Me,Chris Brown,69,pop,2013
Wild For The Night,A$AP Rocky Featuring Skrillex,70,pop,2013
All Me,Drake Featuring 2 Chainz & Big Sean,71,pop,2013
Karate Chop (Remix),Future Featuring Lil Wayne,72,pop,2013
F*ckwithmeyouknowigotit,Jay Z Featuring Rick Ross,73,pop,2013
TKO,Justin Timberlake,74,pop,2013
Pop That,"French Montana Featuring Rick Ross, Drake, Lil Wayne",75,pop,2013
Molly,"Tyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall",76,pop,2013
Bounce It,Juicy J Featuring Wale & Trey Songz,77,pop,2013
Guap,Big Sean,78,pop,2013
Remember You,Wiz Khalifa Featuring The Weeknd,79,pop,2013
Survival,Eminem,80,pop,2013
White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,81,pop,2013
Honest,Future,82,pop,2013
Without Me,Fantasia Featuring Kelly Rowland & Missy Elliott,83,pop,2013
Ready,Fabolous Featuring Chris Brown,84,pop,2013
Dope,Tyga Featuring Rick Ross,85,pop,2013
Memories Back Then,"Hustle Gang Featuring T.I., B.o.B, Kendrick Lamar & Kris Stephens",86,pop,2013
Birthday Song,2 Chainz Featuring Kanye West,87,pop,2013
The One,Tamar Braxton,88,pop,2013
Show Out,Juicy J Featuring Big Sean & Young Jeezy,89,pop,2013
It Won't Stop,Sevyn Streeter Featuring Chris Brown,90,pop,2013
Bubble Butt,"Major Lazer Featuring Bruno Mars, Tyga & Mystic",91,pop,2013
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",92,pop,2013
V.S.O.P.,K. Michelle,93,pop,2013
No Lie,2 Chainz Featuring Drake,94,pop,2013
Freaks,French Montana Featuring Nicki Minaj,95,pop,2013
Work,A$AP Ferg,96,pop,2013
LoveHate Thing,Wale Featuring Sam Dew,97,pop,2013
I'm Out,Ciara Featuring Nicki Minaj,98,pop,2013
Versace,Migos,99,pop,2013
Celebration,"Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne",100,pop,2013
Happy,Pharrell Williams,1,pop,2014
All Of Me,John Legend,2,pop,2014
Fancy,Iggy Azalea Featuring Charli XCX,3,pop,2014
Talk Dirty,Jason Derulo Featuring 2 Chainz,4,pop,2014
The Monster,Eminem Featuring Rihanna,5,pop,2014
Black Widow,Iggy Azalea Featuring Rita Ora,6,pop,2014
Drunk In Love,Beyonce Featuring Jay Z,7,pop,2014
Wiggle,Jason Derulo Featuring Snoop Dogg,8,pop,2014
Anaconda,Nicki Minaj,9,pop,2014
Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,10,pop,2014
Don't Tell 'Em,Jeremih Featuring YG,11,pop,2014
Show Me,Kid Ink Featuring Chris Brown,12,pop,2014
The Man,Aloe Blacc,13,pop,2014
Hot Boy,Bobby Shmurda,14,pop,2014
2 On,Tinashe Featuring ScHoolboy Q,15,pop,2014
Na Na,Trey Songz,16,pop,2014
My Hitta,YG Featuring Jeezy & Rich Homie Quan,17,pop,2014
"Hold On, We're Going Home",Drake Featuring Majid Jordan,18,pop,2014
Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,19,pop,2014
New Flame,Chris Brown Featuring Usher & Rick Ross,20,pop,2014
Partition,Beyonce,21,pop,2014
Love Never Felt So Good,Michael Jackson & Justin Timberlake,22,pop,2014
No Mediocre,T.I. Featuring Iggy Azalea,23,pop,2014
Studio,ScHoolboy Q Featuring BJ The Chicago Kid,24,pop,2014
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",25,pop,2014
White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,26,pop,2014
Believe Me,Lil Wayne Featuring Drake,27,pop,2014
Paranoid,Ty Dolla $ign Featuring B.o.B,28,pop,2014
0 To 100 / The Catch Up,Drake,29,pop,2014
Pills N Potions,Nicki Minaj,30,pop,2014
The Worst,Jhene Aiko,31,pop,2014
We Dem Boyz,Wiz Khalifa,32,pop,2014
Or Nah,Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard,33,pop,2014
Rap God,Eminem,34,pop,2014
No Flex Zone,Rae Sremmurd,35,pop,2014
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,36,pop,2014
Trophies,Young Money Featuring Drake,37,pop,2014
Who Do You Love?,YG Featuring Drake,38,pop,2014
All Me,Drake Featuring 2 Chainz & Big Sean,39,pop,2014
About The Money,T.I. Featuring Young Thug,40,pop,2014
It Won't Stop,Sevyn Streeter Featuring Chris Brown,41,pop,2014
Move That Doh,"Future Featuring Pharrell, Pusha T & Casino",42,pop,2014
Main Chick,Kid Ink Featuring Chris Brown,43,pop,2014
Cut Her Off,KCamp Featuring 2 Chainz,44,pop,2014
Work,Iggy Azalea,45,pop,2014
Up Down (Do This All Day),T-Pain Featuring B.o.B,46,pop,2014
Come Get It Bae,Pharrell Williams,47,pop,2014
Stoner,Young Thug,48,pop,2014
Good Kisser,Usher,49,pop,2014
V. 3005,Childish Gambino,50,pop,2014
"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,51,pop,2014
I Don't F**k With You,Big Sean Featuring E-40,52,pop,2014
No Type,Rae Sremmurd,53,pop,2014
Tuesday,I LOVE MAKONNEN Featuring Drake,54,pop,2014
Man Of The Year,ScHoolboy Q,55,pop,2014
Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",56,pop,2014
Love More,Chris Brown Featuring Nicki Minaj,57,pop,2014
Holy Grail,Jay Z Featuring Justin Timberlake,58,pop,2014
Fight Night,Migos,59,pop,2014
XO,Beyonce,60,pop,2014
The Language,Drake,61,pop,2014
Ride,SoMo,62,pop,2014
Part II (On The Run),Jay Z Featuring Beyonce,63,pop,2014
Gas Pedal,Sage The Gemini Featuring IamSu!,64,pop,2014
i,Kendrick Lamar,65,pop,2014
Hookah,Tyga Featuring Young Thug,66,pop,2014
Headlights,Eminem Featuring Nate Ruess,67,pop,2014
Foreign,Trey Songz,68,pop,2014
***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,69,pop,2014
She Twerkin,Ca$h Out,70,pop,2014
Bound 2,Kanye West,71,pop,2014
24 Hours,TeeFLii Featuring 2 Chainz,72,pop,2014
They Don't Know,Rico Love,73,pop,2014
TKO,Justin Timberlake,74,pop,2014
Handsome And Wealthy,Migos,75,pop,2014
I Won,Future Featuring Kanye West,76,pop,2014
Walk Thru,Rich Homie Quan Featuring Problem,77,pop,2014
You & I (Nobody In The World),John Legend,78,pop,2014
I Luv This Sh*t,August Alsina Featuring Trinidad James,79,pop,2014
You And Your Friends,Wiz Khalifa Featuring Snoop Dogg & Ty Dolla $ign,80,pop,2014
Can't Raise A Man,K. Michelle,81,pop,2014
Berzerk,Eminem,82,pop,2014
2AM.,Adrian Marcel Featuring Sage The Gemini,83,pop,2014
Survival,Eminem,84,pop,2014
Confident,Justin Bieber Featuring Chance The Rapper,85,pop,2014
Feelin' Myself,"will.i.am Featuring Miley Cyrus, French Montana, Wiz Khalifa & DJ Mustard",86,pop,2014
Seen It All,Jeezy Featuring Jay Z,87,pop,2014
I Mean It,G-Eazy Featuring Remo,88,pop,2014
Money Baby,KCamp Featuring Kwony Ca$h,89,pop,2014
Yayo,Snootie Wild & Yo Gotti & DJ Drama,90,pop,2014
No Love,August Alsina,91,pop,2014
Worst Behavior,Drake,92,pop,2014
Tom Ford,JAY-Z,93,pop,2014
I Know,Yo Gotti Featuring Rich Homie Quan,94,pop,2014
HeadBand,B.o.B Featuring 2 Chainz,95,pop,2014
Guts Over Fear,Eminem Featuring Sia,96,pop,2014
Often,The Weeknd,97,pop,2014
She Knows,J. Cole Featuring Amber Coffman & The Cults,98,pop,2014
John Doe,B.o.B Featuring Priscilla,99,pop,2014
Red Nose,Sage The Gemini,100,pop,2014
See You Again,Wiz Khalifa Featuring Charlie Puth,1,pop,2015
Trap Queen,Fetty Wap,2,pop,2015
Watch Me,Silento,3,pop,2015
The Hills,The Weeknd,4,pop,2015
Can't Feel My Face,The Weeknd,5,pop,2015
Earned It (Fifty Shades Of Grey),The Weeknd,6,pop,2015
679,Fetty Wap Featuring Remy Boyz,7,pop,2015
Hotline Bling,Drake,8,pop,2015
Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,9,pop,2015
G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,10,pop,2015
FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,11,pop,2015
Somebody,Natalie La Rose Featuring Jeremih,12,pop,2015
My Way,Fetty Wap Featuring Monty,13,pop,2015
B**** Better Have My Money,Rihanna,14,pop,2015
Nasty Freestyle,T-Wayne,15,pop,2015
Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",16,pop,2015
I Don't Mind,Usher Featuring Juicy J,17,pop,2015
I Don't F**k With You,Big Sean Featuring E-40,18,pop,2015
7/11,Beyonce,19,pop,2015
Flex (Ooh Ooh Ooh),Rich Homie Quan,20,pop,2015
Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,21,pop,2015
Classic Man,Jidenna Featuring Roman GianArthur,22,pop,2015
All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,23,pop,2015
Blessings,Big Sean Featuring Drake,24,pop,2015
No Type,Rae Sremmurd,25,pop,2015
One Dance,Drake Featuring WizKid & Kyla,1,pop,2016
Panda,Desiigner,2,pop,2016
Work,Rihanna Featuring Drake,3,pop,2016
Needed Me,Rihanna,4,pop,2016
"Me, Myself & I",G-Eazy x Bebe Rexha,5,pop,2016
Hotline Bling,Drake,6,pop,2016
Too Good,Drake Featuring Rihanna,7,pop,2016
Broccoli,D.R.A.M. Featuring Lil Yachty,8,pop,2016
Here,Alessia Cara,9,pop,2016
The Hills,The Weeknd,10,pop,2016
Controlla,Drake,11,pop,2016
Jumpman,Drake & Future,12,pop,2016
Don't Mind,Kent Jones,13,pop,2016
Don't,Bryson Tiller,14,pop,2016
Low Life,Future Featuring The Weeknd,15,pop,2016
For Free,DJ Khaled Featuring Drake,16,pop,2016
Starboy,The Weeknd Featuring Daft Punk,17,pop,2016
2 Phones,Kevin Gates,18,pop,2016
Oui,Jeremih,19,pop,2016
In The Night,The Weeknd,20,pop,2016
Down In The DM,Yo Gotti Featuring Nicki Minaj,21,pop,2016
Luv,Tory Lanez,22,pop,2016
Sorry,Beyonce,23,pop,2016
Say It,Tory Lanez,24,pop,2016
Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",25,pop,2016
Exchange,Bryson Tiller,26,pop,2016
Antidote,Travis Scott,27,pop,2016
Pop Style,Drake Featuring The Throne,28,pop,2016
679,Fetty Wap Featuring Remy Boyz,29,pop,2016
White Iverson,Post Malone,31,pop,2016
Cut It,O.T. Genasis Featuring Young Dolph,32,pop,2016
Back To Sleep,Chris Brown,33,pop,2016
No Limit,Usher Featuring Young Thug,34,pop,2016
Wicked,Future,35,pop,2016
Tiimmy Turner,Desiigner,36,pop,2016
Black Beatles,Rae Sremmurd Featuring Gucci Mane,37,pop,2016
Really Really,Kevin Gates,38,pop,2016
"Father Stretch My Hands, Pt. 1",Kanye West,39,pop,2016
Summer Sixteen,Drake,40,pop,2016
No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz,41,pop,2016
I Got The Keys,DJ Khaled Featuring Jay Z & Future,42,pop,2016
Money Longer,Lil Uzi Vert,43,pop,2016
Uber Everywhere,MadeinTYO,44,pop,2016
THat Part,ScHoolboy Q Featuring Kanye West,45,pop,2016
Best Friend,Young Thug,46,pop,2016
Can't Feel My Face,The Weeknd,47,pop,2016
Hold Up,Beyonce,48,pop,2016
Come And See Me,PARTYNEXTDOOR Featuring Drake,49,pop,2016
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,50,pop,2016
Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,51,pop,2016
