title,artist,rank,genre,year
Radioactive,Imagine Dragons,1,pop,2013
Ho Hey,The Lumineers,2,pop,2013
Royals,Lorde,3,pop,2013
Safe And Sound,Capital Cities,4,pop,2013
Sail,AWOLNATION,5,pop,2013
It's Time,Imagine Dragons,6,pop,2013
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,7,pop,2013
Demons,Imagine Dragons,8,pop,2013
Home,Phillip Phillips,9,pop,2013
"Gone, Gone, Gone",Phillip Phillips,10,pop,2013
Some Nights,fun.,11,pop,2013
I Will Wait,Mumford & Sons,12,pop,2013
Little Talks,Of Monsters And Men,13,pop,2013
Carry On,fun.,14,pop,2013
The A Team,Ed Sheeran,15,pop,2013
Let Her Go,Passenger,16,pop,2013
Still Into You,Paramore,17,pop,2013
Sweater Weather,The Neighbourhood,18,pop,2013
Too Close,Alex Clare,19,pop,2013
Madness,Muse,20,pop,2013
Young And Beautiful,Lana Del Rey,21,pop,2013
Lego House,Ed Sheeran,22,pop,2013
Stubborn Love,The Lumineers,23,pop,2013
Mountain Sound,Of Monsters And Men,24,pop,2013
Pompeii,Bastille,25,pop,2013
On Top Of The World,Imagine Dragons,26,pop,2013
Take A Walk,Passion Pit,27,pop,2013
Out Of My League,Fitz And The Tantrums,28,pop,2013
Hail To The King,Avenged Sevenfold,29,pop,2013
Tennis Court,Lorde,30,pop,2013
Harlem,New Politics,31,pop,2013
Red Hands,Walk Off The Earth,32,pop,2013
Team,Lorde,33,pop,2013
Miss Jackson,Panic! At The Disco Featuring Lolo,34,pop,2013
Trojans,Atlas Genius,35,pop,2013
Breezeblocks,alt-J,36,pop,2013
Little Black Submarines,The Black Keys,37,pop,2013
Ways To Go,Grouplove,38,pop,2013
Give Me Love,Ed Sheeran,39,pop,2013
Lover Of The Light,Mumford & Sons,40,pop,2013
Closer,Tegan And Sara,41,pop,2013
Up In The Air,Thirty Seconds To Mars,42,pop,2013
Diane Young,Vampire Weekend,43,pop,2013
The Phoenix,Fall Out Boy,44,pop,2013
Babel,Mumford & Sons,45,pop,2013
Come A Little Closer,Cage The Elephant,46,pop,2013
We Won't Be Shaken,Building 429,47,pop,2013
Lift Me Up,Five Finger Death Punch Featuring Rob Halford,48,pop,2013
Flowers In Your Hair,The Lumineers,49,pop,2013
I'll Follow You,Shinedown,50,pop,2013
Carried Away,Passion Pit,51,pop,2013
Do I Wanna Know?,Arctic Monkeys,52,pop,2013
Kiss Me,Ed Sheeran,53,pop,2013
Sirens,Pearl Jam,54,pop,2013
A Light That Never Comes,Linkin Park X Steve Aoki,55,pop,2013
Supersoaker,Kings Of Leon,56,pop,2013
Alone Together,Fall Out Boy,57,pop,2013
Bleeding Out,Imagine Dragons,58,pop,2013
Clouds,Zach Sobiech,59,pop,2013
The Love Club,Lorde,60,pop,2013
Stars,Grace Potter & The Nocturnals,61,pop,2013
Because We Can,Bon Jovi,62,pop,2013
Rebel Beat,Goo Goo Dolls,63,pop,2013
Came Back Haunted,Nine Inch Nails,64,pop,2013
Hurricane,MS MR,65,pop,2013
The One That Got Away,The Civil Wars,66,pop,2013
Chalk Outline,Three Days Grace,67,pop,2013
Wildfire,John Mayer,68,pop,2013
Carry On,Avenged Sevenfold,69,pop,2013
San Francisco,The Mowgli's,70,pop,2013
Reflektor,Arcade Fire,71,pop,2013
The High Road,Three Days Grace,72,pop,2013
Who You Love,John Mayer Featuring Katy Perry,73,pop,2013
Hero,Family Of The Year,74,pop,2013
Panic Station,Muse,75,pop,2013
Stompa,Serena Ryder,76,pop,2013
Best Day Of My Life,American Authors,77,pop,2013
Alive,Empire Of The Sun,78,pop,2013
Entertainment,Phoenix,79,pop,2013
Tiptoe,Imagine Dragons,80,pop,2013
Heaven Nor Hell,Volbeat,81,pop,2013
In The End,Black Veil Brides,82,pop,2013
Atlas,Coldplay,83,pop,2013
Slow It Down,The Lumineers,84,pop,2013
Castle Of Glass,Linkin Park,85,pop,2013
Classy Girls,The Lumineers,86,pop,2013
This Is Gospel,Panic! At The Disco,87,pop,2013
King & Lionheart,Of Monsters And Men,88,pop,2013
Elephant,Tame Impala,89,pop,2013
Paper Doll,John Mayer,90,pop,2013
Now,Paramore,91,pop,2013
Mind Your Manners,Pearl Jam,92,pop,2013
Never Never,Korn,93,pop,2013
Whispers In The Dark,Mumford & Sons,94,pop,2013
Livin' On A Prayer,Bon Jovi,95,pop,2013
Holding On To You,twenty one pilots,96,pop,2013
The Hangman's Body Count,Volbeat,97,pop,2013
I Got You,Jack Johnson,98,pop,2013
Drunk,Ed Sheeran,99,pop,2013
Hopeless Wanderer,Mumford & Sons,100,pop,2013
Pompeii,Bastille,1,pop,2014
Team,Lorde,2,pop,2014
Royals,Lorde,3,pop,2014
Let Her Go,Passenger,4,pop,2014
Best Day Of My Life,American Authors,5,pop,2014
Demons,Imagine Dragons,6,pop,2014
Ain't It Fun,Paramore,7,pop,2014
A Sky Full Of Stars,Coldplay,8,pop,2014
Radioactive,Imagine Dragons,9,pop,2014
Come With Me Now,KONGOS,10,pop,2014
Sweater Weather,The Neighbourhood,11,pop,2014
Riptide,Vance Joy,12,pop,2014
Take Me To Church,Hozier,13,pop,2014
Sail,AWOLNATION,14,pop,2014
Magic,Coldplay,15,pop,2014
Stolen Dance,Milky Chance,16,pop,2014
Safe And Sound,Capital Cities,17,pop,2014
Sleeping With A Friend,Neon Trees,18,pop,2014
Centuries,Fall Out Boy,19,pop,2014
Do I Wanna Know?,Arctic Monkeys,20,pop,2014
Tennis Court,Lorde,21,pop,2014
The Walker,Fitz And The Tantrums,22,pop,2014
On Top Of The World,Imagine Dragons,23,pop,2014
Fever,The Black Keys,24,pop,2014
Love Don't Die,The Fray,25,pop,2014
Dangerous,Big Data Featuring Joywave,26,pop,2014
I Wanna Get Better,Bleachers,27,pop,2014
Bad Blood,Bastille,28,pop,2014
Why'd You Only Call Me When You're High?,Arctic Monkeys,29,pop,2014
Glory And Gore,Lorde,30,pop,2014
Heaven Knows,The Pretty Reckless,31,pop,2014
Alone Together,Fall Out Boy,32,pop,2014
Chocolate,The 1975,33,pop,2014
Left Hand Free,alt-J,34,pop,2014
Come A Little Closer,Cage The Elephant,35,pop,2014
My Sweet Summer,The Dirty Heads,36,pop,2014
Peace,O.A.R.,37,pop,2014
Fall In Love,Phantogram,38,pop,2014
We Might Be Dead By Tomorrow,Soko,39,pop,2014
Midnight,Coldplay,40,pop,2014
Coming Of Age,Foster The People,41,pop,2014
Jungle,Jamie N Commons & X Ambassadors,42,pop,2014
Afraid,The Neighbourhood,43,pop,2014
Words As Weapons,Seether,44,pop,2014
Come To Me,Goo Goo Dolls,45,pop,2014
Believer,American Authors,46,pop,2014
Multiplied,NEEDTOBREATHE,47,pop,2014
Skinny Love,Birdy,48,pop,2014
Out Of My League,Fitz And The Tantrums,49,pop,2014
Back To The Shack,Weezer,50,pop,2014
Unbelievers,Vampire Weekend,51,pop,2014
Lazaretto,Jack White,52,pop,2014
Who You Love,John Mayer Featuring Katy Perry,53,pop,2014
Guilty All The Same,Linkin Park Featuring Rakim,54,pop,2014
Flaws,Bastille,55,pop,2014
Yellow Flicker Beat,Lorde,56,pop,2014
Pumpin Blood,NONONO,57,pop,2014
I Don't Want To Be Here Anymore,Rise Against,58,pop,2014
It's About Time,Young The Giant,59,pop,2014
Shut Up And Dance,WALK THE MOON,60,pop,2014
Doses & Mimosas,Cherub,61,pop,2014
Shepherd Of Fire,Avenged Sevenfold,62,pop,2014
All I Want,Kodaline,63,pop,2014
Painkiller,Three Days Grace,64,pop,2014
Cardiac Arrest,Bad Suns,65,pop,2014
Girls,The 1975,66,pop,2014
The Devil In I,Slipknot,67,pop,2014
Warriors,Imagine Dragons,68,pop,2014
House Of The Rising Sun,Five Finger Death Punch,69,pop,2014
Take Out The Gunman,Chevelle,70,pop,2014
Sirens,Pearl Jam,71,pop,2014
Torn To Pieces,Pop Evil,72,pop,2014
Forever,HAIM,73,pop,2014
Car Radio,twenty one pilots,74,pop,2014
Until It's Gone,Linkin Park,75,pop,2014
Budapest,George Ezra,76,pop,2014
Wrong Side Of Heaven,Five Finger Death Punch,77,pop,2014
Thunder Clatter,Wild Cub,78,pop,2014
The Wire,HAIM,79,pop,2014
Everybody Wants To Rule The World,Lorde,80,pop,2014
The Mother We Share,CHVRCHES,81,pop,2014
400 Lux,Lorde,82,pop,2014
Miss Jackson,Panic! At The Disco Featuring Lolo,83,pop,2014
R U Mine?,Arctic Monkeys,84,pop,2014
Every Other Freckle,alt-J,85,pop,2014
