title,artist,rank,genre
Whom Shall I Fear (God Of Angel Armies),Chris Tomlin,1,christian
"Hello, My Name Is",Matthew West,2,christian
One Thing Remains,Passion Featuring Kristian Stanfill,3,christian
You Are I Am,MercyMe,4,christian
Words,Hawk Nelson Featuring Bart Millard,5,christian
Every Good Thing,The Afters,6,christian
Help Me Find It,Sidewalk Prophets,7,christian
We Won't Be Shaken,Building 429,8,christian
Steal My Show,tobyMac,9,christian
Redeemed,Big Daddy Weave,10,christian
Need You Now (How Many Times),Plumb,11,christian
Overcomer,Mandisa,13,christian
"10,000 Reasons (Bless The Lord)",Matt Redman,14,christian
Worn,Tenth Avenue North,15,christian
My God,Jeremy Camp,16,christian
Strangely Dim,Francesca Battistelli,17,christian
You Are,Colton Dixon,18,christian
I Need A Miracle,Third Day,19,christian
Kings & Queens,Audio Adrenaline,20,christian
Your Love Never Fails,newsboys,21,christian
He Is With Us,Love & The Outcome,22,christian
Live With Abandon,newsboys,23,christian
Hurricane,Natalie Grant,24,christian
Forgiveness,Matthew West,25,christian
The Only Name (Yours Will Be),Big Daddy Weave,26,christian
God's Great Dance Floor,Chris Tomlin,27,christian
Love Take Me Over,Steven Curtis Chapman,28,christian
Carry Me,Josh Wilson,29,christian
Already There,Casting Crowns,30,christian
Just Say Jesus,7eventh Time Down,31,christian
God Of Brilliant Lights,Aaron Shust,32,christian
Gold,Britt Nicole,33,christian
Your Love Is Like A River,Third Day,34,christian
Speak Life,tobyMac,35,christian
Lift My Life Up,Unspoken,36,christian
Middle Of Your Heart,for KING & COUNTRY,37,christian
Good To Be Alive,Jason Gray,38,christian
Nothing Ever (Could Separate Us),Citizen Way,39,christian
Build Your Kingdom Here,Rend Collective Experiment,40,christian
Promises,Sanctus Real,41,christian
Jesus In Disguise,Brandon Heath,42,christian
Beautiful Day,Jamie Grace,43,christian
The Lord Our God,Passion Featuring Kristian Stanfill,44,christian
Changed,Rascal Flatts,45,christian
Starts With Me,Tim Timmons,46,christian
Come To The River,Rhett Walker Band,47,christian
Who You Are,Unspoken,48,christian
Pray,Sanctus Real,49,christian
Believer,Audio Adrenaline,50,christian
Oceans (Where Feet May Fail),Hillsong UNITED,1,christian
Something In The Water,Carrie Underwood,2,christian
We Believe,newsboys,3,christian
This Is Amazing Grace,Phil Wickham,4,christian
Fix My Eyes,for KING & COUNTRY,5,christian
Greater,MercyMe,6,christian
Start A Fire,Unspoken,7,christian
Hope In Front Of Me,Danny Gokey,8,christian
I Am,Crowder,9,christian
Beautiful Day,Jamie Grace,10,christian
Multiplied,NEEDTOBREATHE,11,christian
Write Your Story,Francesca Battistelli,12,christian
The Only Name (Yours Will Be),Big Daddy Weave,13,christian
Overcomer,Mandisa,14,christian
Thrive,Casting Crowns,15,christian
Speak Life,tobyMac,16,christian
Do Something,Matthew West,17,christian
Shake,MercyMe,18,christian
Overwhelmed,Big Daddy Weave,19,christian
He Knows My Name,Francesca Battistelli,20,christian
All The People Said Amen,Matt Maher,21,christian
Press On,Building 429 Featuring Blanca Callahan,22,christian
More Of You,Colton Dixon,23,christian
Let Them See You,JJ Weeks Band,24,christian
God's Not Dead (Like A Lion),newsboys,25,christian
Keep Making Me,Sidewalk Prophets,26,christian
My Heart Is Yours,Passion Featuring Kristian Stanfill,27,christian
Waterfall,Chris Tomlin,28,christian
No Man Is An Island,Tenth Avenue North,29,christian
All I Need Is You,Lecrae,30,christian
Back To You,Mandisa,31,christian
Not Gonna Die,Skillet,32,christian
Broken Hallelujah,The Afters,33,christian
You Won't Let Go,Michael W. Smith,34,christian
All You've Ever Wanted,Casting Crowns,35,christian
With Every Act Of Love,Jason Gray,36,christian
Forever,Kari Jobe,37,christian
How Sweet The Sound,Citizen Way,38,christian
Don't Deserve You,Plumb,39,christian
King Of My Heart,Love & The Outcome,40,christian
"Lord, I Need You",Matt Maher,41,christian
Nuthin,Lecrae,42,christian
Love Alone Is Worth The Fight,Switchfoot,43,christian
My Lighthouse,Rend Collective,44,christian
Jesus Loves Me,Chris Tomlin,45,christian
Alive,Hillsong Young & Free,46,christian
Do Life Big,Jamie Grace,47,christian
You Make Me Brave,Bethel Music,48,christian
Open Up The Heavens,Meredith Andrews,49,christian
Say I Won't,Lecrae Featuring Andy Mineo,50,christian
Come As You Are,Crowder,51,christian
Your Grace Finds Me,Matt Redman,52,christian
