title,artist,rank,genre,year
Cruise,Florida Georgia Line,1,pop,2013
Wagon Wheel,Darius Rucker,2,pop,2013
Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,3,pop,2013
Crash My Party,Luke Bryan,4,pop,2013
I Want Crazy,Hunter Hayes,5,pop,2013
Highway Don't Care,Tim McGraw With Taylor Swift,6,pop,2013
Get Your Shine On,Florida Georgia Line,7,pop,2013
Mama's Broken Heart,Miranda Lambert,8,pop,2013
Sure Be Cool If You Did,Blake Shelton,9,pop,2013
Runnin' Outta Moonlight,Randy Houser,10,pop,2013
That's My Kind Of Night,Luke Bryan,11,pop,2013
Better Dig Two,The Band Perry,12,pop,2013
It Goes Like This,Thomas Rhett,13,pop,2013
We Are Never Ever Getting Back Together,Taylor Swift,14,pop,2013
Redneck Crazy,Tyler Farr,15,pop,2013
Round Here,Florida Georgia Line,16,pop,2013
Wanted,Hunter Hayes,17,pop,2013
Downtown,Lady Antebellum,18,pop,2013
Hey Girl,Billy Currington,19,pop,2013
Don't Ya,Brett Eldredge,20,pop,2013
DONE.,The Band Perry,21,pop,2013
Night Train,Jason Aldean,22,pop,2013
Hey Pretty Girl,Kip Moore,23,pop,2013
Every Storm (Runs Out Of Rain),Gary Allan,24,pop,2013
All Over The Road,Easton Corbin,25,pop,2013
See You Again,Carrie Underwood,26,pop,2013
Give It All We Got Tonight,George Strait,27,pop,2013
Somebody's Heartbreak,Hunter Hayes,28,pop,2013
Two Black Cadillacs,Carrie Underwood,29,pop,2013
Anywhere With You,Jake Owen,30,pop,2013
Little Bit Of Everything,Keith Urban,31,pop,2013
Aw Naw,Chris Young,32,pop,2013
If I Didn't Have You,Thompson Square,33,pop,2013
Pirate Flag,Kenny Chesney,34,pop,2013
Mine Would Be You,Blake Shelton,35,pop,2013
Beat This Summer,Brad Paisley,36,pop,2013
One Of Those Nights,Tim McGraw,37,pop,2013
I Drive Your Truck,Lee Brice,38,pop,2013
Point At You,Justin Moore,39,pop,2013
Parking Lot Party,Lee Brice,40,pop,2013
Southern Girl,Tim McGraw,41,pop,2013
Tornado,Little Big Town,42,pop,2013
The Only Way I Know,Jason Aldean With Luke Bryan & Eric Church,43,pop,2013
Red,Taylor Swift,44,pop,2013
Blown Away,Carrie Underwood,45,pop,2013
How Country Feels,Randy Houser,46,pop,2013
Like Jesus Does,Eric Church,47,pop,2013
More Than Miles,Brantley Gilbert,48,pop,2013
Wasting All These Tears,Cassadee Pope,49,pop,2013
Jump Right In,Zac Brown Band,50,pop,2013
Sunny And 75,Joe Nichols,51,pop,2013
Merry Go 'round,Kacey Musgraves,52,pop,2013
1994,Jason Aldean,53,pop,2013
Carolina,Parmalee,54,pop,2013
Drunk Last Night,Eli Young Band,55,pop,2013
Goodbye In Her Eyes,Zac Brown Band,56,pop,2013
Begin Again,Taylor Swift,57,pop,2013
Southern Comfort Zone,Brad Paisley,58,pop,2013
I Can Take It From There,Chris Young,59,pop,2013
Kiss Tomorrow Goodbye,Luke Bryan,60,pop,2013
Tip It On Back,Dierks Bentley,61,pop,2013
We Were Us,Keith Urban And Miranda Lambert,62,pop,2013
Beer Money,Kip Moore,63,pop,2013
Goodbye Town,Lady Antebellum,64,pop,2013
Til My Last Day,Justin Moore,65,pop,2013
Whatever She's Got,David Nail,66,pop,2013
Easy,Sheryl Crow,67,pop,2013
Hard To Love,Lee Brice,68,pop,2013
Outta My Head,Craig Campbell,69,pop,2013
Chillin' It,Cole Swindell,70,pop,2013
Drinks After Work,Toby Keith,71,pop,2013
Bruises,Train Featuring Ashley Monroe,72,pop,2013
All Kinds Of Kinds,Miranda Lambert,73,pop,2013
