title,artist,rank,genre,year
Harlem Shake,Baauer,1,pop,2013
Get Lucky,Daft Punk Featuring Pharrell Williams,2,pop,2013
Wake Me Up!,Avicii,3,pop,2013
I Love It,Icona Pop Featuring Charli XCX,4,pop,2013
Clarity,Zedd Featuring Foxes,5,pop,2013
Scream & Shout,will.i.am & Britney Spears,6,pop,2013
Feel This Moment,Pitbull Featuring Christina Aguilera,7,pop,2013
Applause,Lady Gaga,8,pop,2013
I Need Your Love,Calvin Harris Featuring Ellie Goulding,9,pop,2013
Don't You Worry Child,Swedish House Mafia Featuring John Martin,10,pop,2013
Summertime Sadness,Lana Del Rey & Cedric Gervais,11,pop,2013
Sweet Nothing,Calvin Harris Featuring Florence Welch,12,pop,2013
#thatPOWER,will.i.am Featuring Justin Bieber,13,pop,2013
Gentleman,PSY,14,pop,2013
Alive,Krewella,15,pop,2013
Gangnam Style,PSY,16,pop,2013
Work B**ch!,Britney Spears,17,pop,2013
Right Now,Rihanna Featuring David Guetta,18,pop,2013
Bubble Butt,"Major Lazer Featuring Bruno Mars, Tyga & Mystic",19,pop,2013
Levitate,Hadouken!,20,pop,2013
Play Hard,David Guetta Featuring Ne-Yo & Akon,21,pop,2013
Stay The Night,Zedd Featuring Hayley Williams,22,pop,2013
This Is What It Feels Like,Armin van Buuren Featuring Trevor Guthrie,23,pop,2013
Live It Up,Jennifer Lopez Featuring Pitbull,24,pop,2013
Animals,Martin Garrix,25,pop,2013
Glowing,Nikki Williams,26,pop,2013
I Could Be The One,Avicii vs Nicky Romero,27,pop,2013
Lose Yourself To Dance,Daft Punk Featuring Pharrell Williams,28,pop,2013
Turn The Night Up,Enrique Iglesias,29,pop,2013
A Little Party Never Killed Nobody (All We Got),"Fergie, Q-Tip & GoonRock",30,pop,2013
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,31,pop,2013
Live For The Night,Krewella,32,pop,2013
As Your Friend,Afrojack Featuring Chris Brown,33,pop,2013
All Night,Icona Pop,34,pop,2013
Rest Of My Life,Ludacris Featuring Usher & David Guetta,35,pop,2013
Sexy People (The Fiat Song),Arianna Featuring Pitbull,36,pop,2013
Reload,Sebastian Ingrosso/Tommy Trash/John Martin,37,pop,2013
Doin' It Right,Daft Punk Featuring Panda Bear,38,pop,2013
Beam Me Up (Kill-Mode),Cazzette,39,pop,2013
Spectrum,Zedd Featuring Matthew Koma,40,pop,2013
She Wolf (Falling To Pieces),David Guetta Featuring Sia,41,pop,2013
Instant Crush,Daft Punk Featuring Julian Casablancas,42,pop,2013
Forever Now,Ne-Yo,43,pop,2013
You Make Me,Avicii,44,pop,2013
Fall Down,will.i.am Featuring Miley Cyrus,45,pop,2013
A Light That Never Comes,Linkin Park X Steve Aoki,46,pop,2013
Get Up (Rattle),Bingo Players Featuring Far East Movement,47,pop,2013
Thinking About You,Calvin Harris Featuring Ayah Marar,48,pop,2013
Higher Ground,TNGHT,49,pop,2013
Hey Brother,Avicii,50,pop,2013
Give Life Back To Music,Daft Punk,51,pop,2013
Call Me A Spaceman,Hardwell Featuring Mitch Crown,52,pop,2013
Atmosphere,Kaskade,53,pop,2013
Latch,Disclosure Featuring Sam Smith,54,pop,2013
Exotic,Priyanka Chopra Featuring Pitbull,55,pop,2013
Boneless,"Steve Aoki, Chris Lake & Tujamo",56,pop,2013
Giorgio By Moroder,Daft Punk,57,pop,2013
Woman's World,Cher,58,pop,2013
Take Me Home,Cash Cash Featuring Bebe Rexha,59,pop,2013
Greyhound,Swedish House Mafia,60,pop,2013
Louder,DJ Fresh Featuring Sian Evans,61,pop,2013
Apollo,Hardwell Featuring Amba Shepherd,62,pop,2013
Hold On,NERVO,63,pop,2013
Watch Out For This (Bumaye),"Major Lazer Featuring Busy Signal, The Flexican & FS Green",64,pop,2013
Down The Road,C2C,65,pop,2013
Take Me,Tiesto Featuring Kyler England,66,pop,2013
Drinking From The Bottle,Calvin Harris Featuring Tinie Tempah,67,pop,2013
Contact,Daft Punk,68,pop,2013
One Minute,Krewella,69,pop,2013
Acid Rain,Alexis Jordan,70,pop,2013
Hold Me,Ono Featuring Dave Aude,71,pop,2013
Back To Love,DJ Pauly D Featuring Jay Sean,72,pop,2013
Bang Bang,will.i.am,73,pop,2013
Flashing Lights,Havana Brown,74,pop,2013
Skirt,Kylie Minogue,75,pop,2013
City Of Dreams,Dirty South & Alesso Featuring Ruben Haze,76,pop,2013
Easy,Mat Zo & Porter Robinson,77,pop,2013
Crystallize,Lindsey Stirling,78,pop,2013
Walking On Thin Ice 2013,Ono,79,pop,2013
Oh Mama Hey,Chris Cox + DJ Frankie Featuring Crystal Waters,81,pop,2013
Weapon,Cazzette,82,pop,2013
The Lucky Ones,Kerli,83,pop,2013
Heartbeat,Tony Moran VS Deborah Cooper,84,pop,2013
Addicted To You,Avicii,85,pop,2013
It's You,Duck Sauce,86,pop,2013
Just One Last Time,David Guetta Featuring Taped Rai,87,pop,2013
DNA,Empire Of The Sun,88,pop,2013
Stars,Kat DeLuna,89,pop,2013
Under Control,Calvin Harris & Alesso Featuring Hurts,90,pop,2013
Come & Get It,Krewella,91,pop,2013
Million Voices,Otto Knows,92,pop,2013
This Is Our Love,Sophi,93,pop,2013
Boy Oh Boy,Diplo GTA,94,pop,2013
All Night,Team Pitbull Featuring David Rush & Pitbull,95,pop,2013
Vocal,Pet Shop Boys,96,pop,2013
D.A.N.C.E.,Justice,97,pop,2013
Express Yourself,Diplo Featuring Nicky Da B,98,pop,2013
I Can't Stop,Flux Pavilion,99,pop,2013
This is My Goodbye,Antoine Clamaran Featuring Fenja,100,pop,2013
Turn Down For What,DJ Snake & Lil Jon,1,pop,2014
Wake Me Up!,Avicii,2,pop,2014
Summer,Calvin Harris,3,pop,2014
Rather Be,Clean Bandit Featuring Jess Glynne,4,pop,2014
Latch,Disclosure Featuring Sam Smith,5,pop,2014
Break Free,Ariana Grande Featuring Zedd,6,pop,2014
Hey Brother,Avicii,7,pop,2014
Animals,Martin Garrix,8,pop,2014
Stay The Night,Zedd Featuring Hayley Williams,9,pop,2014
A Sky Full Of Stars,Coldplay,10,pop,2014
Applause,Lady Gaga,11,pop,2014
Waves,Mr. Probz,12,pop,2014
Get Lucky,Daft Punk Featuring Pharrell Williams,13,pop,2014
#SELFIE,The Chainsmokers,14,pop,2014
Blame,Calvin Harris Featuring John Newman,15,pop,2014
Wasted,Tiesto Featuring Matthew Koma,16,pop,2014
Hideaway,Kiesza,17,pop,2014
Red Lights,Tiesto,18,pop,2014
Summertime Sadness,Lana Del Rey & Cedric Gervais,19,pop,2014
Dare (La La La),Shakira,20,pop,2014
Take Me Home,Cash Cash Featuring Bebe Rexha,21,pop,2014
Delirious (Boneless),"Steve Aoki, Chris Lake & Tujamo Featuring Kid Ink",22,pop,2014
Ten Feet Tall,Afrojack Featuring Wrabel,23,pop,2014
Bad,David Guetta & Showtek Featuring VASSY,24,pop,2014
Find You,Zedd Featuring Matthew Koma & Miriam Bryant,25,pop,2014
Work B**ch!,Britney Spears,26,pop,2014
Heroes (We Could Be),Alesso Featuring Tove Lo,27,pop,2014
Everything Is AWESOME!!!,Tegan And Sara Featuring The Lonely Island,28,pop,2014
Bend Ova,Lil Jon Featuring Tyga,29,pop,2014
Clarity,Zedd Featuring Foxes,30,pop,2014
Thinking About You,Calvin Harris Featuring Ayah Marar,31,pop,2014
I Got U,Duke Dumont Featuring Jax Jones,32,pop,2014
Hangover,PSY Featuring Snoop Dogg,33,pop,2014
Prayer In C,Lillywood & Robin Schulz,34,pop,2014
Jealous (I Ain't With It),Chromeo,35,pop,2014
Lovers On The Sun,David Guetta Featuring Sam Martin,36,pop,2014
Recess,"Skrillex With Kill The Noise, Fatman Scoop & Michael Angelakos",37,pop,2014
