title,artist,rank,genre
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1,hip-hop-rb-songs
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2,hip-hop-rb-songs
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,3,hip-hop-rb-songs
Suit & Tie,Justin Timberlake Featuring JAY Z,4,hip-hop-rb-songs
Holy Grail,Jay Z Featuring Justin Timberlake,5,hip-hop-rb-songs
Diamonds,Rihanna,6,hip-hop-rb-songs
Started From The Bottom,Drake,7,hip-hop-rb-songs
F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",8,hip-hop-rb-songs
"Hold On, We're Going Home",Drake Featuring Majid Jordan,9,hip-hop-rb-songs
Love Me,Lil Wayne Featuring Drake & Future,10,hip-hop-rb-songs
Power Trip,J. Cole Featuring Miguel,11,hip-hop-rb-songs
Girl On Fire,Alicia Keys Featuring Nicki Minaj,12,hip-hop-rb-songs
Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,13,hip-hop-rb-songs
Bad,Wale Featuring Tiara Thomas Or Rihanna,14,hip-hop-rb-songs
Adorn,Miguel,15,hip-hop-rb-songs
Pour It Up,Rihanna,16,hip-hop-rb-songs
Swimming Pools (Drank),Kendrick Lamar,17,hip-hop-rb-songs
Berzerk,Eminem,18,hip-hop-rb-songs
Body Party,Ciara,19,hip-hop-rb-songs
"Bitch, Don't Kill My Vibe",Kendrick Lamar,20,hip-hop-rb-songs
U.O.E.N.O.,Rocko Featuring Future & Rick Ross,21,hip-hop-rb-songs
#Beautiful,Mariah Carey Featuring Miguel,22,hip-hop-rb-songs
Poetic Justice,Kendrick Lamar Featuring Drake,23,hip-hop-rb-songs
Next To Me,Emeli Sande,24,hip-hop-rb-songs
Crooked Smile,J. Cole Featuring TLC,25,hip-hop-rb-songs
Bugatti,Ace Hood Featuring Future & Rick Ross,26,hip-hop-rb-songs
I'm Different,2 Chainz,27,hip-hop-rb-songs
Rich As F**k,Lil Wayne Featuring 2 Chainz,28,hip-hop-rb-songs
Clique,"Kanye West, Jay-Z, Big Sean",29,hip-hop-rb-songs
