title,artist,rank,genre,year
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,1,pop,2013
Locked Out Of Heaven,Bruno Mars,2,pop,2013
I Knew You Were Trouble.,Taylor Swift,3,pop,2013
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,4,pop,2013
Clarity,Zedd Featuring Foxes,5,pop,2013
Mirrors,Justin Timberlake,6,pop,2013
Radioactive,Imagine Dragons,7,pop,2013
Don't You Worry Child,Swedish House Mafia Featuring John Martin,8,pop,2013
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,9,pop,2013
Daylight,Maroon 5,10,pop,2013
Just Give Me A Reason,P!nk Featuring Nate Ruess,11,pop,2013
Stay,Rihanna Featuring Mikky Ekko,12,pop,2013
Roar,Katy Perry,13,pop,2013
When I Was Your Man,Bruno Mars,14,pop,2013
Ho Hey,The Lumineers,15,pop,2013
Safe And Sound,Capital Cities,16,pop,2013
Wake Me Up!,Avicii,17,pop,2013
Get Lucky,Daft Punk Featuring Pharrell Williams,18,pop,2013
Love Somebody,Maroon 5,19,pop,2013
Come & Get It,Selena Gomez,20,pop,2013
I Need Your Love,Calvin Harris Featuring Ellie Goulding,21,pop,2013
Scream & Shout,will.i.am & Britney Spears,22,pop,2013
I Love It,Icona Pop Featuring Charli XCX,23,pop,2013
Sweet Nothing,Calvin Harris Featuring Florence Welch,24,pop,2013
Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,25,pop,2013
The Other Side,Jason Derulo,26,pop,2013
Royals,Lorde,27,pop,2013
Suit & Tie,Justin Timberlake Featuring JAY Z,28,pop,2013
Summertime Sadness,Lana Del Rey & Cedric Gervais,29,pop,2013
Heart Attack,Demi Lovato,30,pop,2013
Treasure,Bruno Mars,31,pop,2013
Feel This Moment,Pitbull Featuring Christina Aguilera,32,pop,2013
Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,33,pop,2013
Holy Grail,Jay Z Featuring Justin Timberlake,34,pop,2013
Diamonds,Rihanna,35,pop,2013
Try,P!nk,36,pop,2013
Applause,Lady Gaga,37,pop,2013
Die Young,Ke$ha,38,pop,2013
Cruise,Florida Georgia Line Featuring Nelly,39,pop,2013
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,40,pop,2013
I Cry,Flo Rida,41,pop,2013
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,42,pop,2013
One More Night,Maroon 5,43,pop,2013
We Can't Stop,Miley Cyrus,44,pop,2013
It's Time,Imagine Dragons,45,pop,2013
Still Into You,Paramore,46,pop,2013
"Hold On, We're Going Home",Drake Featuring Majid Jordan,47,pop,2013
Wrecking Ball,Miley Cyrus,48,pop,2013
Troublemaker,Olly Murs Featuring Flo Rida,49,pop,2013
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,50,pop,2013
Dark Horse,Katy Perry Featuring Juicy J,1,pop,2014
Counting Stars,OneRepublic,2,pop,2014
All Of Me,John Legend,3,pop,2014
Am I Wrong,Nico & Vinz,4,pop,2014
Talk Dirty,Jason Derulo Featuring 2 Chainz,5,pop,2014
Rude,MAGIC!,6,pop,2014
Team,Lorde,7,pop,2014
Stay With Me,Sam Smith,8,pop,2014
Happy,Pharrell Williams,9,pop,2014
Problem,Ariana Grande Featuring Iggy Azalea,10,pop,2014
Pompeii,Bastille,11,pop,2014
Timber,Pitbull Featuring Ke$ha,12,pop,2014
The Monster,Eminem Featuring Rihanna,13,pop,2014
Latch,Disclosure Featuring Sam Smith,14,pop,2014
All About That Bass,Meghan Trainor,15,pop,2014
Boom Clap,Charli XCX,16,pop,2014
Black Widow,Iggy Azalea Featuring Rita Ora,17,pop,2014
Fancy,Iggy Azalea Featuring Charli XCX,18,pop,2014
Shake It Off,Taylor Swift,19,pop,2014
Not A Bad Thing,Justin Timberlake,20,pop,2014
Burn,Ellie Goulding,21,pop,2014
Maps,Maroon 5,22,pop,2014
