title,artist,rank,genre
Radioactive,Imagine Dragons,1,rock
Ho Hey,The Lumineers,2,rock
Royals,Lorde,3,rock
Safe And Sound,Capital Cities,4,rock
Sail,AWOLNATION,5,rock
It's Time,Imagine Dragons,6,rock
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,7,rock
Demons,Imagine Dragons,8,rock
Home,Phillip Phillips,9,rock
"Gone, Gone, Gone",Phillip Phillips,10,rock
Some Nights,fun.,11,rock
I Will Wait,Mumford & Sons,12,rock
Little Talks,Of Monsters And Men,13,rock
Carry On,fun.,14,rock
The A Team,Ed Sheeran,15,rock
Let Her Go,Passenger,16,rock
Still Into You,Paramore,17,rock
Sweater Weather,The Neighbourhood,18,rock
Too Close,Alex Clare,19,rock
Madness,Muse,20,rock
Young And Beautiful,Lana Del Rey,21,rock
Lego House,Ed Sheeran,22,rock
Stubborn Love,The Lumineers,23,rock
Mountain Sound,Of Monsters And Men,24,rock
Pompeii,Bastille,25,rock
On Top Of The World,Imagine Dragons,26,rock
Take A Walk,Passion Pit,27,rock
Out Of My League,Fitz And The Tantrums,28,rock
Hail To The King,Avenged Sevenfold,29,rock
Tennis Court,Lorde,30,rock
Harlem,New Politics,31,rock
Red Hands,Walk Off The Earth,32,rock
Team,Lorde,33,rock
Miss Jackson,Panic! At The Disco Featuring Lolo,34,rock
Trojans,Atlas Genius,35,rock
Breezeblocks,alt-J,36,rock
Little Black Submarines,The Black Keys,37,rock
Ways To Go,Grouplove,38,rock
Give Me Love,Ed Sheeran,39,rock
Lover Of The Light,Mumford & Sons,40,rock
Closer,Tegan And Sara,41,rock
Up In The Air,Thirty Seconds To Mars,42,rock
Diane Young,Vampire Weekend,43,rock
The Phoenix,Fall Out Boy,44,rock
Babel,Mumford & Sons,45,rock
Come A Little Closer,Cage The Elephant,46,rock
We Won't Be Shaken,Building 429,47,rock
Lift Me Up,Five Finger Death Punch Featuring Rob Halford,48,rock
Flowers In Your Hair,The Lumineers,49,rock
I'll Follow You,Shinedown,50,rock
Carried Away,Passion Pit,51,rock
Do I Wanna Know?,Arctic Monkeys,52,rock
Kiss Me,Ed Sheeran,53,rock
Sirens,Pearl Jam,54,rock
A Light That Never Comes,Linkin Park X Steve Aoki,55,rock
Supersoaker,Kings Of Leon,56,rock
Alone Together,Fall Out Boy,57,rock
Bleeding Out,Imagine Dragons,58,rock
Clouds,Zach Sobiech,59,rock
The Love Club,Lorde,60,rock
Stars,Grace Potter & The Nocturnals,61,rock
Because We Can,Bon Jovi,62,rock
Rebel Beat,Goo Goo Dolls,63,rock
Came Back Haunted,Nine Inch Nails,64,rock
Hurricane,MS MR,65,rock
The One That Got Away,The Civil Wars,66,rock
Chalk Outline,Three Days Grace,67,rock
Wildfire,John Mayer,68,rock
Carry On,Avenged Sevenfold,69,rock
San Francisco,The Mowgli's,70,rock
Reflektor,Arcade Fire,71,rock
The High Road,Three Days Grace,72,rock
