title,artist,rank,genre,year
Whom Shall I Fear (God Of Angel Armies),Chris Tomlin,1,Christian,2013
"Hello, My Name Is",Matthew West,2,Christian,2013
One Thing Remains,Passion Featuring Kristian Stanfill,3,Christian,2013
You Are I Am,MercyMe,4,Christian,2013
Words,Hawk Nelson Featuring Bart Millard,5,Christian,2013
Every Good Thing,The Afters,6,Christian,2013
Help Me Find It,Sidewalk Prophets,7,Christian,2013
We Won't Be Shaken,Building 429,8,Christian,2013
Steal My Show,tobyMac,9,Christian,2013
Redeemed,Big Daddy Weave,10,Christian,2013
Need You Now (How Many Times),Plumb,11,Christian,2013
Overcomer,Mandisa,13,Christian,2013
"10,000 Reasons (Bless The Lord)",Matt Redman,14,Christian,2013
Worn,Tenth Avenue North,15,Christian,2013
My God,Jeremy Camp,16,Christian,2013
Strangely Dim,Francesca Battistelli,17,Christian,2013
You Are,Colton Dixon,18,Christian,2013
I Need A Miracle,Third Day,19,Christian,2013
Kings & Queens,Audio Adrenaline,20,Christian,2013
Your Love Never Fails,newsboys,21,Christian,2013
He Is With Us,Love & The Outcome,22,Christian,2013
Live With Abandon,newsboys,23,Christian,2013
Hurricane,Natalie Grant,24,Christian,2013
Forgiveness,Matthew West,25,Christian,2013
The Only Name (Yours Will Be),Big Daddy Weave,26,Christian,2013
God's Great Dance Floor,Chris Tomlin,27,Christian,2013
Love Take Me Over,Steven Curtis Chapman,28,Christian,2013
Carry Me,Josh Wilson,29,Christian,2013
Already There,Casting Crowns,30,Christian,2013
Just Say Jesus,7eventh Time Down,31,Christian,2013
God Of Brilliant Lights,Aaron Shust,32,Christian,2013
Gold,Britt Nicole,33,Christian,2013
Your Love Is Like A River,Third Day,34,Christian,2013
Speak Life,tobyMac,35,Christian,2013
Lift My Life Up,Unspoken,36,Christian,2013
Middle Of Your Heart,for KING & COUNTRY,37,Christian,2013
Good To Be Alive,Jason Gray,38,Christian,2013
Nothing Ever (Could Separate Us),Citizen Way,39,Christian,2013
Build Your Kingdom Here,Rend Collective Experiment,40,Christian,2013
Promises,Sanctus Real,41,Christian,2013
Jesus In Disguise,Brandon Heath,42,Christian,2013
Beautiful Day,Jamie Grace,43,Christian,2013
The Lord Our God,Passion Featuring Kristian Stanfill,44,Christian,2013
Changed,Rascal Flatts,45,Christian,2013
Starts With Me,Tim Timmons,46,Christian,2013
Come To The River,Rhett Walker Band,47,Christian,2013
Who You Are,Unspoken,48,Christian,2013
Pray,Sanctus Real,49,Christian,2013
Believer,Audio Adrenaline,50,Christian,2013
Oceans (Where Feet May Fail),Hillsong UNITED,1,Christian,2014
Something In The Water,Carrie Underwood,2,Christian,2014
We Believe,newsboys,3,Christian,2014
This Is Amazing Grace,Phil Wickham,4,Christian,2014
Fix My Eyes,for KING & COUNTRY,5,Christian,2014
Greater,MercyMe,6,Christian,2014
Start A Fire,Unspoken,7,Christian,2014
Hope In Front Of Me,Danny Gokey,8,Christian,2014
I Am,Crowder,9,Christian,2014
Beautiful Day,Jamie Grace,10,Christian,2014
Multiplied,NEEDTOBREATHE,11,Christian,2014
Write Your Story,Francesca Battistelli,12,Christian,2014
The Only Name (Yours Will Be),Big Daddy Weave,13,Christian,2014
Overcomer,Mandisa,14,Christian,2014
Thrive,Casting Crowns,15,Christian,2014
Speak Life,tobyMac,16,Christian,2014
Do Something,Matthew West,17,Christian,2014
Shake,MercyMe,18,Christian,2014
Overwhelmed,Big Daddy Weave,19,Christian,2014
He Knows My Name,Francesca Battistelli,20,Christian,2014
All The People Said Amen,Matt Maher,21,Christian,2014
Press On,Building 429 Featuring Blanca Callahan,22,Christian,2014
More Of You,Colton Dixon,23,Christian,2014
Let Them See You,JJ Weeks Band,24,Christian,2014
God's Not Dead (Like A Lion),newsboys,25,Christian,2014
Keep Making Me,Sidewalk Prophets,26,Christian,2014
My Heart Is Yours,Passion Featuring Kristian Stanfill,27,Christian,2014
Waterfall,Chris Tomlin,28,Christian,2014
No Man Is An Island,Tenth Avenue North,29,Christian,2014
All I Need Is You,Lecrae,30,Christian,2014
Back To You,Mandisa,31,Christian,2014
Not Gonna Die,Skillet,32,Christian,2014
Broken Hallelujah,The Afters,33,Christian,2014
You Won't Let Go,Michael W. Smith,34,Christian,2014
All You've Ever Wanted,Casting Crowns,35,Christian,2014
With Every Act Of Love,Jason Gray,36,Christian,2014
Forever,Kari Jobe,37,Christian,2014
